"car_id","url","manufacturer","model","badge","year","price","currency","main_image","location","fuel_type","seller_type","seller_id","images","vehicle_description","powerplant_type","cost_to_insure","engine","dealer_info","year_num"
"SSE-AD-18733280","https://www.carsales.com.au/cars/details/2011-holden-commodore-ss-ve-series-ii-manual/SSE-AD-18733280/","holden","commodore","Commodore SS VE Series II Manual","2011",,"AUD","https://carsales.pxcrush.net/carsales/cars/private/6fiby9j8eeorybrbtrfzxqde8.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","NSW","Petrol","private","SSE-SELLER-18733280","[""https://carsales.pxcrush.net/carsales/cars/private/6fiby9j8eeorybrbtrfzxqde8.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/private/6vj5fla8resybd3mofoofoddh.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/private/wfv2qi67nf37wke24lc9gvp2.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/private/349x9jkfix2oyed1ujgwa6oy2.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/private/1z0cr4zevrhcqiy8uhrfd6j1e.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480""]","2011 Holden Commodore SS VE Series II Manual","8cyl 6.0L Petrol",,"8cyl 6.0L Petrol","{""current_ad_listings"":null,""location"":null,""member_since"":null,""num_of_reviews"":null,""phone_number"":null,""rating"":null,""website"":null}",2011
"OAG-AD-24353358","https://www.carsales.com.au/cars/details/2023-lexus-rx-rx350-f-sport-auto-awd/OAG-AD-24353358/","lexus","Lexus","RX RX350 F Sport Auto AWD","2023",90888,"AUD","https://carsales.pxcrush.net/carsales/car/dealer/c757414d7cea4a18022ba0e7d161b972.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","VIC","Petrol","dealer","AGC-SELLER-58130","[""https://carsales.pxcrush.net/carsales/car/dealer/c757414d7cea4a18022ba0e7d161b972.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/b5c53424903ae19358b5dbeaae17bb3d.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/c435e2a3238f28f4ee48c5f4ade4e13c.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/2069dcd854d5733d55ceca74e1b286a1.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/3e1857e76f2dc0eff676274bcdefd632.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480""]","2023 Lexus RX RX350 F Sport Auto AWD","4cyl 2.4L T Petrol",,"4cyl 2.4L T Petrol","{""current_ad_listings"":null,""location"":null,""member_since"":null,""num_of_reviews"":null,""phone_number"":null,""rating"":null,""website"":null}",2023
"OAG-AD-24312614","https://www.carsales.com.au/cars/details/2024-jaguar-f-pace-p250-r-dynamic-se-90th-anniversary-edition-auto-awd-my25-5/OAG-AD-24312614/","jaguar","Jaguar","F-PACE P250 R-Dynamic SE 90th Anniversary Edition Auto AWD MY25.5","2024",109990,"AUD","https://carsales.pxcrush.net/carsales/car/dealer/7c35776a841e71b9be3da871e502b718.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","NSW","Petrol","dealer","AGC-SELLER-49604","[""https://carsales.pxcrush.net/carsales/car/dealer/7c35776a841e71b9be3da871e502b718.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/0d23146ea40c9764a3f8d60d418174f4.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/1974ece607b2f397972f96340cff988a.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/85435efc27deed2b423d946c9e0e9790.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/5ed9de5501108c8d1a4e04558ffee0c3.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480""]","2024 Jaguar F-PACE P250 R-Dynamic SE 90th Anniversary Edition Auto AWD MY25.5","4cyl 2.0L T Petrol",,"4cyl 2.0L T Petrol","{""current_ad_listings"":null,""location"":null,""member_since"":null,""num_of_reviews"":null,""phone_number"":null,""rating"":null,""website"":null}",2024
"OAG-AD-24177739","https://www.carsales.com.au/cars/details/2024-bmw-2-series-230i-m-sport-g42-auto/OAG-AD-24177739/?gts=OAG-AD-24177739&gtsSaleId=OAG-AD-24177739&gtsViewType=showcase&rankingType=showcase","bmw","2 series","2 Series 230i M Sport G42 Auto","2024",,"AUD","https://carsales.pxcrush.net/carsales/cars/dealer/26zvt896bg5bll5hbyg1p3n05.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","VIC","Petrol","dealer","AGC-SELLER-29069","[""https://carsales.pxcrush.net/carsales/cars/dealer/26zvt896bg5bll5hbyg1p3n05.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/dealer/afxcmuuje3s4esb9ex5kkkx7w.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/dealer/191q1a9nnx3r2j1shb3goa8uq.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/dealer/rgojq7c7u12hxfmzdw8mc28s.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/dealer/7s6o4cks7bxnyotnhg978kunt.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480""]","2024 BMW 2 Series 230i M Sport G42 Auto","4cyl 2.0L T Petrol",,"4cyl 2.0L T Petrol","{""current_ad_listings"":null,""location"":null,""member_since"":null,""num_of_reviews"":null,""phone_number"":null,""rating"":null,""website"":null}",2024
"OAG-AD-24032308","https://www.carsales.com.au/cars/details/2024-bmw-x4-xdrive30i-m-sport-g02-lci-auto-4x4/OAG-AD-24032308/?gts=OAG-AD-24032308&gtsSaleId=OAG-AD-24032308&gtsViewType=showcase&rankingType=showcase","bmw","x4","X4 xDrive30i M Sport G02 LCI Auto 4x4","2024",,"AUD","https://carsales.pxcrush.net/carsales/cars/dealer/aycfecdyip3veby0foap0r1bo.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","VIC","Petrol","dealer","AGC-SELLER-29069","[""https://carsales.pxcrush.net/carsales/cars/dealer/aycfecdyip3veby0foap0r1bo.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/dealer/221lqpjjpcuxbggv9ii8nd2pv.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/dealer/7hehk5vopokfmk0u57x7en91t.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/dealer/7xxxusmhx3vqa0o0fyucbzpee.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/dealer/11mpl7p8mns861d2vc9w0myul.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480""]","2024 BMW X4 xDrive30i M Sport G02 LCI Auto 4x4","4cyl 2.0L T Petrol",,"4cyl 2.0L T Petrol","{""current_ad_listings"":null,""location"":null,""member_since"":null,""num_of_reviews"":null,""phone_number"":null,""rating"":null,""website"":null}",
"SSE-AD-18247708","https://www.carsales.com.au/cars/details/2011-holden-cruze-sri-v-jh-series-ii-auto-my11/SSE-AD-18247708/?gts=SSE-AD-18247708&gtsSaleId=SSE-AD-18247708&gtsViewType=showcase&rankingType=showcase","holden","cruze","Cruze SRi-V JH Series II Auto MY11","2011",,"AUD","https://carsales.pxcrush.net/carsales/cars/private/81aciyqerac5s9pjeccvfu7lm.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","VIC","Petrol","private","SSE-SELLER-18247708","[""https://carsales.pxcrush.net/carsales/cars/private/81aciyqerac5s9pjeccvfu7lm.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/private/63tiypgzzo21867xld7xnoyrv.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/private/cpj5mgs83vmw9t0cxd488mn8l.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/private/8s7lhxaw4akqp8hy42q661apj.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/cars/private/8pqls75njpooix9p307qome6w.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480""]","2011 Holden Cruze SRi-V JH Series II Auto MY11","4cyl 1.4L T Petrol",,"4cyl 1.4L T Petrol","{""current_ad_listings"":null,""location"":null,""member_since"":null,""num_of_reviews"":null,""phone_number"":null,""rating"":null,""website"":null}",
"OAG-AD-24320200","https://www.carsales.com.au/cars/details/2022-toyota-hilux-workmate-hi-rider-manual-4x2/OAG-AD-24320200/","toyota","hilux","Hilux Workmate Hi-Rider Manual 4x2","2022",32990,"AUD","https://carsales.pxcrush.net/carsales/car/dealer/ca0o5s08jiruj7qlm01twkrep.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","NSW","Diesel","dealer","AGC-SELLER-65066","[""https://carsales.pxcrush.net/carsales/car/dealer/ca0o5s08jiruj7qlm01twkrep.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/217vi78ey6yw6y6y2n9pkkrby.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/d5e62b439eb9149d50560bb237df09f8.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/9mnpbk9r3nky7lhr4gqcgtibl.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/82cfd3f462a86ca22b8ca47ec8ee96d3.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480""]","2022 Toyota Hilux Workmate Hi-Rider Manual 4x2","4cyl 2.4L T Diesel",,"4cyl 2.4L T Diesel","{""current_ad_listings"":null,""location"":null,""member_since"":null,""num_of_reviews"":null,""phone_number"":null,""rating"":null,""website"":null}",2022
"OAG-AD-23881172","https://www.carsales.com.au/cars/details/2024-mazda-3-g25-evolve-sp-bp-series-auto/OAG-AD-23881172/","mazda","3","3 G25 Evolve SP BP Series Auto","2024",37464,"AUD","https://carsales.pxcrush.net/placeholder","SA","Petrol","dealer","AGC-SELLER-11249","[""https://carsales.pxcrush.net/placeholder""]","2024 Mazda 3 G25 Evolve SP BP Series Auto","4cyl 2.5L Petrol",,"4cyl 2.5L Petrol","{""current_ad_listings"":null,""location"":null,""member_since"":null,""num_of_reviews"":null,""phone_number"":null,""rating"":null,""website"":null}",2024
"OAG-AD-24216315","https://www.carsales.com.au/cars/details/2021-mitsubishi-triton-glx-mr-manual-4x2-my22/OAG-AD-24216315/","mitsubishi","triton","Triton GLX MR Manual 4x2 MY22","2021",28888,"AUD","https://carsales.pxcrush.net/carsales/car/dealer/bzq0q0j32oi3q2ix4p3k4ojzq.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","QLD","Diesel","dealer","AGC-SELLER-17568","[""https://carsales.pxcrush.net/carsales/car/dealer/bzq0q0j32oi3q2ix4p3k4ojzq.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/6rhoq1tt8ngefz7qdhw05oj47.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/517505d5c8c06c4a87451d9beef7cf3d.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/bq07emlg2deeizolwnqwcksfi.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480"",""https://carsales.pxcrush.net/carsales/car/dealer/6a14130fe4e627d539d3a52c4eb72999.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480""]","2021 Mitsubishi Triton GLX MR Manual 4x2 MY22","4cyl 2.4L T Diesel",,"4cyl 2.4L T Diesel","{""current_ad_listings"":null,""location"":null,""member_since"":null,""num_of_reviews"":null,""phone_number"":null,""rating"":null,""website"":null}",2021
"OAG-AD-24381543","https://www.carsales.com.au/cars/details/2025-hyundai-kona-hybrid-premium-auto-2wd-my25/OAG-AD-24381543/","hyundai","kona","Kona Hybrid Premium Auto 2WD MY25","2025",49790,"AUD","https://carsales.pxcrush.net/carsales/car/cil/3ebypn069kuf1j74ssks40lxe.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480&pxc_density=2","VIC","Hybrid","dealer","AGC-SELLER-29801","[""https://carsales.pxcrush.net/carsales/car/cil/3ebypn069kuf1j74ssks40lxe.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480&pxc_density=2"",""https://carsales.pxcrush.net/carsales/car/cil/v0396wwb5a9cpqfsm1oj8qp07.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480&pxc_density=2"",""https://carsales.pxcrush.net/carsales/car/cil/xs6npxavcb5fe2eyf8em0bmw9.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480&pxc_density=2"",""https://carsales.pxcrush.net/carsales/car/cil/fl19un1edhe1b46wsx3r82oga.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480&pxc_density=2"",""https://carsales.pxcrush.net/carsales/car/cil/3bw42qfff4i7dkyn63i6507vd.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480&pxc_density=2""]","2025 Hyundai Kona Hybrid Premium Auto 2WD MY25","4cyl 1.6L Hybrid",,"4cyl 1.6L Hybrid","{""current_ad_listings"":null,""location"":null,""member_since"":null,""num_of_reviews"":null,""phone_number"":null,""rating"":null,""website"":null}",2025
